Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote,Unnamed: 9
LMRKP,Landmark Infrastructure Partners LP,24.9217,0.0,,,Consumer Services,Real Estate,https://old.nasdaq.com/symbol/lmrkp,
LE,"Lands&#39; End, Inc.",15.48,504704718.72,,,Consumer Services,Clothing/Shoe/Accessory Stores,https://old.nasdaq.com/symbol/le,
LSTR,"Landstar System, Inc.",127.72,4901824503.48,,1993.0,Transportation,Trucking Freight/Courier Services,https://old.nasdaq.com/symbol/lstr,
LCI,Lannett Co Inc,6.38,256607804.42,,,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/lci,
LTRN,Lantern Pharma Inc.,16.47,102403493.19,,2020.0,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/ltrn,
LNTH,"Lantheus Holdings, Inc.",12.92,863228869.6,,2015.0,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,https://old.nasdaq.com/symbol/lnth,
LTRX,"Lantronix, Inc.",4.5,127317784.5,,2000.0,Technology,Computer Communications Equipment,https://old.nasdaq.com/symbol/ltrx,
LPI,"Laredo Petroleum, Inc.",11.63,139513805.64,,2011.0,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/lpi,
LRMR,"Larimar Therapeutics, Inc.",15.82,242935178.92,,2014.0,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/lrmr,
LVS,Las Vegas Sands Corp.,49.0,37426363023.0,,2004.0,Consumer Services,Hotels/Resorts,https://old.nasdaq.com/symbol/lvs,
LSCC,Lattice Semiconductor Corporation,28.14,3807602210.58,,,Technology,Semiconductors,https://old.nasdaq.com/symbol/lscc,
LAUR,"Laureate Education, Inc.",12.99,2728159618.14,,2017.0,Consumer Services,Other Consumer Services,https://old.nasdaq.com/symbol/laur,
LAWS,"Lawson Products, Inc.",42.38,381769804.52,,,Consumer Durables,Industrial Specialties,https://old.nasdaq.com/symbol/laws,
LGI,Lazard Global Total Return and Income Fund,15.89,206723513.29,,2004.0,,,https://old.nasdaq.com/symbol/lgi,
LAZ,Lazard Ltd.,34.6,3632355782.6,,2005.0,Finance,Investment Managers,https://old.nasdaq.com/symbol/laz,
LZB,La-Z-Boy Incorporated,32.23,1482435448.45,,,Consumer Durables,Home Furnishings,https://old.nasdaq.com/symbol/lzb,
LAZY,"Lazydays Holdings, Inc.",13.18,124570967.7,,,Consumer Durables,Automotive Aftermarket,https://old.nasdaq.com/symbol/lazy,
LCII,LCI Industries ,107.27,2698220343.07,,,Capital Goods,Auto Parts:O.E.M.,https://old.nasdaq.com/symbol/lcii,
LCNB,LCNB Corporation,14.56,188931637.44,,,Finance,Major Banks,https://old.nasdaq.com/symbol/lcnb,
LEAF,Leaf Group Ltd.,5.29,142098091.47,,,Technology,EDP Services,https://old.nasdaq.com/symbol/leaf,
LPTX,"LEAP THERAPEUTICS, INC.",1.94,115736019.48,,,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/lptx,
LEA,Lear Corporation,116.66,6993018042.8,,,Capital Goods,Auto Parts:O.E.M.,https://old.nasdaq.com/symbol/lea,
LEE,"Lee Enterprises, Incorporated",0.8721,50894521.1064,,,Consumer Services,Newspapers/Magazines,https://old.nasdaq.com/symbol/lee,
LGC,Legacy Acquisition Corp.,10.48,142765885.52,,2017.0,Technology,Advertising,https://old.nasdaq.com/symbol/lgc,
LGC.U,Legacy Acquisition Corp.,,0.0,,2017.0,,,https://old.nasdaq.com/symbol/lgc.u,
LGC.WS,Legacy Acquisition Corp.,,0.0,,,,,https://old.nasdaq.com/symbol/lgc.ws,
LEGH,Legacy Housing Corporation,14.1,341109413.7,,2018.0,Basic Industries,Homebuilding,https://old.nasdaq.com/symbol/legh,
LEGN,Legend Biotech Corporation,32.0,678040000.0,21188750.0,2020.0,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/legn,
INFR,Legg Mason Global Infrastructure ETF,28.2013,0.0,,,,,https://old.nasdaq.com/symbol/infr,
LVHD,Legg Mason Low Volatility High Dividend ETF,29.71,0.0,,,,,https://old.nasdaq.com/symbol/lvhd,
SQLV,Legg Mason Small-Cap Quality Value ETF,23.1653,0.0,,,,,https://old.nasdaq.com/symbol/sqlv,
LEG,"Leggett & Platt, Incorporated",44.07,5834555896.26,,,Consumer Durables,Home Furnishings,https://old.nasdaq.com/symbol/leg,
JBK,Lehman ABS Corporation,29.46,0.0,,,Finance,Finance: Consumer Services,https://old.nasdaq.com/symbol/jbk,
KTH,Lehman ABS Corporation,34.83,0.0,,,Finance,Finance: Consumer Services,https://old.nasdaq.com/symbol/kth,
KTN,Lehman ABS Corporation,33.9499,0.0,,,Finance,Finance: Consumer Services,https://old.nasdaq.com/symbol/ktn,
LDOS,"Leidos Holdings, Inc.",90.06,12805951203.06,,,Technology,EDP Services,https://old.nasdaq.com/symbol/ldos,
LACQ,Leisure Acquisition Corp.,10.59,66317576.97,,2017.0,Finance,Business Services,https://old.nasdaq.com/symbol/lacq,
LACQU,Leisure Acquisition Corp.,10.55,0.0,,2017.0,Finance,Business Services,https://old.nasdaq.com/symbol/lacqu,
LACQW,Leisure Acquisition Corp.,0.435,0.0,,2017.0,Finance,Business Services,https://old.nasdaq.com/symbol/lacqw,
LEJU,Leju Holdings Limited,2.18,296422480.7,,2014.0,Finance,Real Estate,https://old.nasdaq.com/symbol/leju,
LMAT,"LeMaitre Vascular, Inc.",32.96,666687753.92,,2006.0,Health Care,Medical/Dental Instruments,https://old.nasdaq.com/symbol/lmat,
LMND,"Lemonade, Inc.",55.24,3125302873.92,,2020.0,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/lmnd,
LC,LendingClub Corporation,4.95,354001403.25,,2014.0,Finance,Finance: Consumer Services,https://old.nasdaq.com/symbol/lc,
TREE,"LendingTree, Inc.",305.0,4000122885.0,,,Finance,Finance: Consumer Services,https://old.nasdaq.com/symbol/tree,
LEN,Lennar Corporation,79.18,24723283316.06,,,Basic Industries,Homebuilding,https://old.nasdaq.com/symbol/len,
LEN.B,Lennar Corporation,,0.0,,,Basic Industries,Homebuilding,https://old.nasdaq.com/symbol/len.b,
LII,"Lennox International, Inc.",267.65,10238670520.45,,1999.0,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/lii,
LEVL,"Level One Bancorp, Inc.",16.25,125682732.5,,2018.0,Finance,Major Banks,https://old.nasdaq.com/symbol/levl,
LEVLP,"Level One Bancorp, Inc.",25.38,0.0,,,Finance,Major Banks,https://old.nasdaq.com/symbol/levlp,
LEVI,Levi Strauss & Co,12.52,4965174776.6,,2019.0,Consumer Non-Durables,Apparel,https://old.nasdaq.com/symbol/levi,
LXRX,"Lexicon Pharmaceuticals, Inc.",1.62,173511481.86,,,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/lxrx,
LX,LexinFintech Holdings Ltd.,6.84,736153235.28,107624742.0,2017.0,Finance,Finance: Consumer Services,https://old.nasdaq.com/symbol/lx,
LXP,Lexington Realty Trust,10.61,2936637635.53,,,,,https://old.nasdaq.com/symbol/lxp,
LXP^C,Lexington Realty Trust,58.02,0.0,,,,,https://old.nasdaq.com/symbol/lxp^c,
LFAC,LF Capital Acquistion Corp.,10.567,182981458.337,,2018.0,Finance,Business Services,https://old.nasdaq.com/symbol/lfac,
LFACU,LF Capital Acquistion Corp.,12.2,0.0,,2018.0,Finance,Business Services,https://old.nasdaq.com/symbol/lfacu,
LFACW,LF Capital Acquistion Corp.,1.8,0.0,,2018.0,Finance,Business Services,https://old.nasdaq.com/symbol/lfacw,
LPL,"LG Display Co., Ltd.",6.91,4945012974.0,,2004.0,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/lpl,
LGIH,"LGI Homes, Inc.",105.76,2653428609.76,,2013.0,Capital Goods,Homebuilding,https://old.nasdaq.com/symbol/lgih,
LGL,"LGL Group, Inc. (The)",8.97,46752124.38,,,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/lgl,
DFNS,LGL Systems Acquisition Corp.,10.04,216487500.0,,2020.0,Finance,Business Services,https://old.nasdaq.com/symbol/dfns,
DFNS.U,LGL Systems Acquisition Corp.,,0.0,,2020.0,,,https://old.nasdaq.com/symbol/dfns.u,
DFNS.WS,LGL Systems Acquisition Corp.,,0.0,,,,,https://old.nasdaq.com/symbol/dfns.ws,
LHCG,LHC Group,202.0,6381222420.0,,2005.0,Health Care,Medical/Nursing Services,https://old.nasdaq.com/symbol/lhcg,
LI,Li Auto Inc.,17.03,1617850000.0,95000000.0,2020.0,Capital Goods,Auto Manufacturing,https://old.nasdaq.com/symbol/li,
LLIT,Lianluo Smart Limited,0.3878,11167316.0508,,,Health Care,Medical/Dental Instruments,https://old.nasdaq.com/symbol/llit,
USA,Liberty All-Star Equity Fund,6.0,1277116374.0,,1986.0,,,https://old.nasdaq.com/symbol/usa,
ASG,"Liberty All-Star Growth Fund, Inc.",7.38,307315074.42,,,,,https://old.nasdaq.com/symbol/asg,
LBRDA,Liberty Broadband Corporation,140.42,25546627590.82,,,Consumer Services,Television Services,https://old.nasdaq.com/symbol/lbrda,
LBRDK,Liberty Broadband Corporation,141.61,25763124434.81,,,Consumer Services,Television Services,https://old.nasdaq.com/symbol/lbrdk,
LBTYA,Liberty Global plc,21.48,12751490261.04,,,,,https://old.nasdaq.com/symbol/lbtya,
LBTYB,Liberty Global plc,22.88,13582592978.24,,,Consumer Services,Television Services,https://old.nasdaq.com/symbol/lbtyb,
LBTYK,Liberty Global plc,20.94,12430922070.12,,,,,https://old.nasdaq.com/symbol/lbtyk,
LILA,Liberty Latin America Ltd.,8.37,1606855474.98,,,Consumer Services,Television Services,https://old.nasdaq.com/symbol/lila,
LILAK,Liberty Latin America Ltd.,8.23,1579978561.42,,,Consumer Services,Television Services,https://old.nasdaq.com/symbol/lilak,
LILAR,Liberty Latin America Ltd.,0.9405,0.0,,,Consumer Services,Television Services,https://old.nasdaq.com/symbol/lilar,
BATRA,Liberty Media Corporation,20.03,1026021927.8,,,Consumer Services,Broadcasting,https://old.nasdaq.com/symbol/batra,
BATRK,Liberty Media Corporation,20.27,1038315750.2,,,Consumer Services,Broadcasting,https://old.nasdaq.com/symbol/batrk,
FWONA,Liberty Media Corporation,32.76,7591306217.04,,,Consumer Services,Broadcasting,https://old.nasdaq.com/symbol/fwona,
FWONK,Liberty Media Corporation,35.48,8221597819.92,,,Consumer Services,Broadcasting,https://old.nasdaq.com/symbol/fwonk,
LSXMA,Liberty Media Corporation,34.395,11814885224.13,,,Consumer Services,Broadcasting,https://old.nasdaq.com/symbol/lsxma,
LSXMB,Liberty Media Corporation,35.65,12245985121.1,,,Consumer Services,Broadcasting,https://old.nasdaq.com/symbol/lsxmb,
LSXMK,Liberty Media Corporation,34.41,11820037812.54,,,Consumer Services,Broadcasting,https://old.nasdaq.com/symbol/lsxmk,
LBRT,Liberty Oilfield Services Inc.,9.01,1017532519.87,,2018.0,Energy,Oilfield Services/Equipment,https://old.nasdaq.com/symbol/lbrt,
LTRPA,"Liberty TripAdvisor Holdings, Inc.",2.1,157752766.5,,,Technology,EDP Services,https://old.nasdaq.com/symbol/ltrpa,
LTRPB,"Liberty TripAdvisor Holdings, Inc.",38.53,2894387663.45,,,Technology,EDP Services,https://old.nasdaq.com/symbol/ltrpb,
LSI,"Life Storage, Inc.",107.27,5032941595.15,,,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/lsi,
LSAC,LifeSci Acquisition Corp.,10.25,84098267.25,,2020.0,Finance,Business Services,https://old.nasdaq.com/symbol/lsac,
LSACU,LifeSci Acquisition Corp.,11.1,0.0,,2020.0,Finance,Business Services,https://old.nasdaq.com/symbol/lsacu,
LSACW,LifeSci Acquisition Corp.,1.13,0.0,,2020.0,Finance,Business Services,https://old.nasdaq.com/symbol/lsacw,
LCUT,"Lifetime Brands, Inc.",10.89,237061578.6,,1991.0,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/lcut,
LFVN,Lifevantage Corporation,13.38,192057657.3,,,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/lfvn,
LWAY,"Lifeway Foods, Inc.",6.79,105954419.2,,,Consumer Non-Durables,Packaged Foods,https://old.nasdaq.com/symbol/lway,
LGND,Ligand Pharmaceuticals Incorporated,92.08,1480475407.44,,,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/lgnd,
LTBR,Lightbridge Corporation,3.78,14953358.7,,,Consumer Services,Professional Services,https://old.nasdaq.com/symbol/ltbr,
LITB,"LightInTheBox Holding Co., Ltd.",1.76,196725013.76,,2013.0,Consumer Services,Catalog/Specialty Distribution,https://old.nasdaq.com/symbol/litb,
LPTH,"LightPath Technologies, Inc.",2.595,67503296.445,,1996.0,Technology,Semiconductors,https://old.nasdaq.com/symbol/lpth,
LSPD,Lightspeed POS Inc.,29.76,3163968356.16,,,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/lspd,
LMB,"Limbach Holdings, Inc.",9.54,75215287.08,,,Basic Industries,Engineering & Construction,https://old.nasdaq.com/symbol/lmb,
LLNW,"Limelight Networks, Inc.",6.39,780043000.23,,2007.0,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/llnw,
LMST,"Limestone Bancorp, Inc.",10.88,81591829.12,,,Finance,Major Banks,https://old.nasdaq.com/symbol/lmst,
LMNL,Liminal BioSciences Inc.,11.94,282118928.94,,,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/lmnl,
LMNR,Limoneira Co,15.4,274360347.8,,,Consumer Non-Durables,Farming/Seeds/Milling,https://old.nasdaq.com/symbol/lmnr,
LINC,Lincoln Educational Services Corporation,6.37,168172981.34,,2005.0,Consumer Services,Other Consumer Services,https://old.nasdaq.com/symbol/linc,
LECO,"Lincoln Electric Holdings, Inc.",91.72,5445100057.72,,,Technology,Industrial Machinery/Components,https://old.nasdaq.com/symbol/leco,
LNC,Lincoln National Corporation,33.64,6500866756.8,,,Finance,Life Insurance,https://old.nasdaq.com/symbol/lnc,
LIND,Lindblad Expeditions Holdings Inc. ,10.18,507531453.56,,2013.0,Consumer Services,Transportation Services,https://old.nasdaq.com/symbol/lind,
LIN,Linde plc,246.1,129291103875.2,,2018.0,Basic Industries,Major Chemicals,https://old.nasdaq.com/symbol/lin,
LNN,Lindsay Corporation,98.14,1063323640.82,,,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/lnn,
LN,LINE Corporation,51.49,12388997623.69,,2016.0,Technology,"Computer Software: Programming, Data Processing",https://old.nasdaq.com/symbol/ln,
LCTX,"Lineage Cell Therapeutics, Inc.",0.98,146981720.06,,,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/lctx,
LINX,Linx S.A.,6.68,1170890232.92,,2019.0,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/linx,
LGHL,Lion Group Holding Ltd.,2.6,4244692.4,1632574.0,,Finance,Investment Bankers/Brokers/Service,https://old.nasdaq.com/symbol/lghl,
LGHLW,Lion Group Holding Ltd.,0.09300000000000001,0.0,,,Finance,Investment Bankers/Brokers/Service,https://old.nasdaq.com/symbol/lghlw,
LCAPU,Lionheart Acquisition Corp. II,9.99,0.0,,2020.0,Finance,Business Services,https://old.nasdaq.com/symbol/lcapu,
LGF.A,Lions Gate Entertainment Corporation,,0.0,,,,,https://old.nasdaq.com/symbol/lgf.a,
LGF.B,Lions Gate Entertainment Corporation,,0.0,,2016.0,,,https://old.nasdaq.com/symbol/lgf.b,
LPCN,Lipocine Inc.,1.61,105753091.5,,,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/lpcn,
LIQT,"LiqTech International, Inc.",7.35,159144500.55,,,Technology,Industrial Machinery/Components,https://old.nasdaq.com/symbol/liqt,
YVR,Liquid Media Group Ltd.,1.5,14990265.0,,,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/yvr,
LQDA,"Liquidia Technologies, Inc.",5.81,219326860.9,,2018.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/lqda,
LQDT,"Liquidity Services, Inc.",7.19,244784225.86,,2006.0,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/lqdt,
LAD,"Lithia Motors, Inc.",228.81,5226236625.45,,,Consumer Durables,Automotive Aftermarket,https://old.nasdaq.com/symbol/lad,
LAC,Lithium Americas Corp.,10.31,934529330.0,,,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/lac,
LFUS,"Littelfuse, Inc.",176.69,4300914476.96,,,Consumer Durables,Electrical Products,https://old.nasdaq.com/symbol/lfus,
LIVK,LIV Capital Acquisition Corp.,10.05,101831625.0,,2020.0,Finance,Business Services,https://old.nasdaq.com/symbol/livk,
LIVKU,LIV Capital Acquisition Corp.,10.14,0.0,,2019.0,Finance,Business Services,https://old.nasdaq.com/symbol/livku,
LIVKW,LIV Capital Acquisition Corp.,0.5,0.0,,2020.0,Finance,Business Services,https://old.nasdaq.com/symbol/livkw,
LIVN,LivaNova PLC,44.71,2175894192.85,,,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,https://old.nasdaq.com/symbol/livn,
LYV,"Live Nation Entertainment, Inc.",56.99,12381349741.23,,,Consumer Services,Services-Misc. Amusement & Recreation,https://old.nasdaq.com/symbol/lyv,
LOAK,Live Oak Acquisition Corp.,10.2007,262668025.0,,2020.0,Finance,Business Services,https://old.nasdaq.com/symbol/loak,
LOAK.U,Live Oak Acquisition Corp.,,0.0,,2020.0,,,https://old.nasdaq.com/symbol/loak.u,
LOAK.WS,Live Oak Acquisition Corp.,,0.0,,,,,https://old.nasdaq.com/symbol/loak.ws,
LOB,"Live Oak Bancshares, Inc.",26.16,1060349270.64,,2015.0,Finance,Major Banks,https://old.nasdaq.com/symbol/lob,
LIVE,Live Ventures Incorporated,9.42,15100552.02,,,Finance,Finance/Investors Services,https://old.nasdaq.com/symbol/live,
LTHM,Livent Corporation,9.05,1323576952.85,,2018.0,Basic Industries,Major Chemicals,https://old.nasdaq.com/symbol/lthm,
LPSN,"LivePerson, Inc.",47.89,3169081097.08,,2000.0,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/lpsn,
RAMP,"LiveRamp Holdings, Inc.",51.46,3390056921.9,,2018.0,Technology,EDP Services,https://old.nasdaq.com/symbol/ramp,
LIVX,"LiveXLive Media, Inc.",3.015,209308994.28,,,Consumer Services,Restaurants,https://old.nasdaq.com/symbol/livx,
LVGO,"Livongo Health, Inc.",132.37,13446856353.49,,2019.0,Technology,"Computer Software: Programming, Data Processing",https://old.nasdaq.com/symbol/lvgo,
LIZI,LIZHI INC.,3.43,14063000.0,4100000.0,2020.0,Technology,"Computer Software: Programming, Data Processing",https://old.nasdaq.com/symbol/lizi,
LKQ,LKQ Corporation,31.03,9442198726.37,,,Consumer Services,Motor Vehicles,https://old.nasdaq.com/symbol/lkq,
LYG,Lloyds Banking Group Plc,1.27,22475179111.02,,,Finance,Commercial Banks,https://old.nasdaq.com/symbol/lyg,
LMFA,"LM Funding America, Inc.",0.5831,8524221.6969,,2015.0,Finance,Finance: Consumer Services,https://old.nasdaq.com/symbol/lmfa,
LMFAW,"LM Funding America, Inc.",0.0624,0.0,,2015.0,Finance,Finance: Consumer Services,https://old.nasdaq.com/symbol/lmfaw,
LMPX,"LMP Automotive Holdings, Inc.",22.3,220847001.9,,2019.0,Consumer Durables,Automotive Aftermarket,https://old.nasdaq.com/symbol/lmpx,
SCD,LMP Capital and Income Fund Inc.,10.79,194040130.7,,2004.0,,,https://old.nasdaq.com/symbol/scd,
LMT,Lockheed Martin Corporation,395.14,110458245637.0,,,Capital Goods,Military/Government/Technical,https://old.nasdaq.com/symbol/lmt,
L,Loews Corporation,36.69,10289497587.93,,,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/l,
LOGC,"LogicBio Therapeutics, Inc.",6.68,157928620.12,,2018.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/logc,
LOGI,Logitech International S.A.,70.58,11898728029.56,,1997.0,Technology,Computer peripheral equipment,https://old.nasdaq.com/symbol/logi,
LOMA,Loma Negra Compania Industrial Argentina Sociedad Anonima,4.22,503024000.0,,2017.0,Capital Goods,Building Materials,https://old.nasdaq.com/symbol/loma,
CNCR,Loncar Cancer Immunotherapy ETF,29.0751,0.0,,,,,https://old.nasdaq.com/symbol/cncr,
CHNA,Loncar China BioPharma ETF,31.324,0.0,,,,,https://old.nasdaq.com/symbol/chna,
LONE,Lonestar Resources US Inc.,0.251,6395531.957,,,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/lone,
LOAC,Longevity Acquisition Corporation,10.7542,28249369.1524,,2018.0,Finance,Business Services,https://old.nasdaq.com/symbol/loac,
LOACR,Longevity Acquisition Corporation,0.2301,0.0,,2018.0,Finance,Business Services,https://old.nasdaq.com/symbol/loacr,
LOACU,Longevity Acquisition Corporation,10.5955,0.0,,2018.0,Finance,Business Services,https://old.nasdaq.com/symbol/loacu,
